ADL,1245896
ALH,31791
ARM,23471
ASP,28489
BDB,69095
BHQ,19151
BME,13314
BNE,2076608
BNK,24469
CFS,66689
CNS,139212
DBO,35281
DGE,10832
DPO,30425
DRW,116995
EMD,13632
EPR,11777
GFF,18683
GFN,19051
HBA,198534
HVB,49835
ISA,21417
KTA,17007
LST,86051
LSY,29294
MBH,26893
MCY,281005
MGB,28279
MKY,79683
OAG,37785
PER,1804239
PHE,14372
PKE,11318
PLO,15621
PQQ,43275
PUG,14084
ROK,78598
TMW,40085
TRO,26307
TSV,167561
WGA,54137
WYA,22471
